"RefDes"."Name"."Pattern"."Center X (mm)"."Center Y (mm)"."Side"."Rotation"."Value"."Origin X (mm)"."Origin Y (mm)"."Part Number (LCSC)"."Part Number (Digi-Key)"."Part Number (Mouser)"."MP"."Package"
"R157"."RES_0402"."RES_0402_202305"."74.9"."34.4"."Top"."0.01"."10K 0402 1%"."74.9"."34.4".""."".""."".""
"R158"."RES_0402"."RES_0402_202305"."73.1"."34.4"."Top"."0.01"."33R 0402 1%"."73.1"."34.4".""."".""."".""
"R159"."RES_0402"."RES_0402_202305"."63.9"."35.5"."Bottom"."90.0"."10K 0402 1%"."63.9"."35.5".""."".""."".""
"R160"."RES_0402"."RES_0402_202305"."75.25"."23.325"."Top"."270.0"."10K 0402 1%"."75.25"."23.325".""."".""."".""
"R161"."RES_0402"."RES_0402_202305"."73.1"."29.05"."Top"."90.01"."10K 0402 1%"."73.1"."29.05".""."".""."".""
"R162"."RES_0402"."RES_0402_202305"."72.05"."29.05"."Top"."90.0"."10K 0402 1%"."72.05"."29.05".""."".""."".""
"R163"."RES_0402"."RES_0402_202305"."48.4"."47.15"."Top"."180.0"."33R 0402 1%"."48.4"."47.15".""."".""."".""
"R164"."TCXO_B"."RES_0402_202305"."48.4"."46"."Top"."180.0"."33R 0402 1%"."48.4"."46".""."".""."".""
"R165"."RES_0603_N"."RES_0603_N"."21.15"."12.95"."Top"."90.0"."220R"."21.15"."12.95".""."".""."".""
"R171"."RES_0603_N"."RES_0603_N"."21.1"."16.7"."Top"."90.0"."220R"."21.1"."16.7".""."".""."".""
"R178"."YC164-FR-072KL"."RESCAXS8P80_320X160X70L30X50N"."95.9"."20.2"."Top"."0.0"."2K"."95.9"."20.2".""."YC164-FR-072KL-ND"."603-YC164-FR-072KL"."".""
"S1"."TL1015"."TL1015 "."44.05"."13.5"."Top"."270.0".""."44.05"."13.5".""."".""."".""
