"RefDes","Manufacturer","Mpn","Place","PcbSide","X","Y","Rotation"
"R163","UNI-ROYAL(Uniroyal Elec)","0402WGF330JTCE","true","Top","48.4","47.15","180"
"R164","UNI-ROYAL(Uniroyal Elec)","0402WGF330JTCE","true","Top","48.4","46","180"
"R165","UNI-ROYAL(Uniroyal Elec)","0402WGF2200TCE","true","Top","21.15","12.95","90"
"R171","UNI-ROYAL(Uniroyal Elec)","0402WGF2200TCE","true","Top","21.1","16.7","90"
"R178","YAGEO","YC164-FR-072KL","true","Top","95.9","20.2","0"
"S1","G-Switch","GT-TC031A-H020-L1N","true","Top","44.05","13.5","-90"
"S2","G-Switch","GT-TC031A-H020-L1N","true","Top","70.975","13.5","-90"
"S3","G-Switch","GT-TC031A-H020-L1N","true","Top","103.25","58","90"
"S4","G-Switch","GT-TC031A-H020-L1N","true","Top","11.75","58","90.01"
"S5","G-Switch","GT-TC031A-H020-L1N","true","Top","103.25","50.5","90"
"S6","G-Switch","GT-TC031A-H020-L1N","true","Top","11.75","50.5","90"
"U1","Espressif Systems","ESP32-C3-MINI-1-H4","true","Top","96.85","30.25","-90"
"U2","Texas Instruments","TMUXHS221NKGR","true","Top","83.8","19.75","-90"
"U3","Texas Instruments","TMUXHS221NKGR","true","Top","70.7","19.063","0"
"U4","Texas Instruments","SN3257QDYYRQ1","true","Top","74.5","47","0"
"U5","Texas Instruments","SN3257QDYYRQ1","true","Top","32.5","47","180"
"U6","Texas Instruments","TPS62A02PDDCR","true","Top","14.1","21.4","0"
"U7","Texas Instruments","SN3257QDYYRQ1","true","Top","82.5","47","0"
"U8","Texas Instruments","SN3257QDYYRQ1","true","Top","40.5","47","180"
"U9","Texas Instruments","TPS3820-50DBVR","true","Top","12.6","36.75","-90"
"U29","Texas Instruments","TPS62A02PDDCR","true","Top","14.1","13.1","0"
"U32","Texas Instruments","TPS62A02PDDCR","true","Top","14.1","29.7","0"
"U38","Lattice","ICE40HX8K-CT256","true","Top","57.5","30","90"
"U39","ST","STM32H725IGK6","true","Top","57.5","50","0"
"U47","WINBOND","W25Q16JVUXIQ","true","Top","72.85","32","-90"
"Y2","HCI","8132H-50.000ML33DTL","true","Top","47.25","50","-90"
