"RefDes","Name","Pattern","Center X (mm)","Center Y (mm)","Side","Rotation","Value","Origin X (mm)","Origin Y (mm)","Part Number (LCSC)","Part Number (Digi-Key)","Part Number (Mouser)","MP","Package"
"E11","MDD_SMA_DO214AC_SMAJ12A","DIOM510X266X229L115X145N","46.9","73.85","Top","90.0","12Vrwm 'BE'","46.9","73.85","C113957","","","",""
"E12","MDD_SMA_DO214AC_SMAJ5.0A","DIOM510X266X229L115X145N","51.85","75.6","Top","180.0","5Vrwm 'AE'","51.85","75.6","C113952","","","",""
"E15","PESD5V0S2BT,215","SOT23-3P95_230X110L30X43N","164.5","88.5","Top","180.0","","164.5","88.5","C49338","1727-3840-6-ND","","",""
"E16","PESD5V0S2BT,215","SOT23-3P95_230X110L30X43N","172","88.5","Top","180.0","","172","88.5","C49338","1727-3840-6-ND","","",""
"E17","PESD5V0S2BT,215","SOT23-3P95_230X110L30X43N","183.25","88.5","Top","180.0","","183.25","88.5","C49338","1727-3840-6-ND","","",""
"E18","PESD5V0S2BT,215","SOT23-3P95_230X110L30X43N","190.75","88.5","Top","180.0","","190.75","88.5","C49338","1727-3840-6-ND","","",""
"F1","","VARRB500W60L900T350H1100","85.9","31.05","Top","90.01","XF110","85.9","31.05","C3760464","","","",""
"F2","10D101K","VARRB750W80L1200T420H1450","26.297","64.35","Top","0.0","< 100V Clamp, >60V DC Working,  >60V Max DC","26.297","64.35","C136820","","","",""
"F3","10D101K","VARRB750W80L1200T420H1450","26.25","82.1","Top","0.0","< 100V Clamp, >60V DC Working,  >60V Max DC","26.25","82.1","C136820","","","",""
"F4","","VARRB500W60L900T350H1100","81.9","31.05","Top","90.01","XF110","81.9","31.05","C3760464","","","",""
"F5","","VARRB500W60L900T350H1100","77.9","31.05","Top","90.01","XF110","77.9","31.05","C3760464","","","",""
"F6","","VARRB500W60L900T350H1100","73.9","31.05","Top","90.01","XF110","73.9","31.05","C3760464","","","",""
"F7","","VARRB500W60L900T350H1100","69.9","31.05","Top","90.01","XF110","69.9","31.05","C3760464","","","",""
"F8","","VARRB500W60L900T350H1100","65.9","31.05","Top","90.01","XF110","65.9","31.05","C3760464","","","",""
"F9","","VARRB500W60L900T350H1100","91.75","27.3","Top","90.0","XF110","91.75","27.3","C3760464","","","",""
"F10","","VARRB500W60L900T350H1100","102.75","27.3","Top","90.0","XF110","102.75","27.3","C3760464","","","",""
"F11","10D101K","VARRB750W80L1200T420H1450","26.25","89.35","Top","0.0","< 100V Clamp, >60V DC Working,  >60V Max DC","26.25","89.35","C136820","","","",""
"F12","10D101K","VARRB750W80L1200T420H1450","26.297","57.1","Top","0.0","< 100V Clamp, >60V DC Working,  >60V Max DC","26.297","57.1","C136820","","","",""
"J1","10164227-1004A1RLF","AMPHENOL_10164227-1004A1RLF","85","63.5","Top","180.0","","85","63.5","","","","",""
"J2","B3B-XH-A(LF)(SN)","SHDRV3W64P250_3X1_990X575H700","26.4","12.875","Top","180.0","RGB_LED","23.9","13.4","C144394","","","",""
"J3","B6P-VH(LF)(SN)","JST_B6P-VH(LF)(SN)","14.4","79.6","Top","270.0","","14.95","79.6","","","","10164227-1004A1RLF",""
"J4","B6B-XH-A(LF)(SN)","SHDRV6W64P250_6X1_1740X575H700","168.25","83.475","Top","180.0","EXT_2","162","84","C144397","","","",""
"J5","B6B-XH-A(LF)(SN)","SHDRV6W64P250_6X1_1740X575H700","187","83.475","Top","180.0","EXT_2","180.75","84","C144397","","","",""
"J6","B3B-XH-A(LF)(SN)","SHDRV3W64P250_3X1_990X575H700","206.775","86.2","Top","270.0","CAN1","206.25","83.7","C144394","","","",""
"J7","B4B-XH-A(LF)(SN)","SHDRV4W64P250_4X1_1240X575H700","12.875","106.15","Top","90.0","LC1","13.4","109.9","C144395","","","",""
"J8","B3B-XH-A(LF)(SN)","SHDRV3W64P250_3X1_990X575H700","206.775","105.5","Top","270.0","CAN2","206.25","103","C144394","","","",""
"J9","RJMG1331171C1ER","RJMG1331171C1ER","117.45","23.35","Top","0.0","","117.45","30.95","","","","",""
"J10","B5B-XH-A(LF)(SN)","SHDRV5W64P250_5X1_1490X575H700","200.25","73.975","Top","180.0","BCD_E","195.25","74.5","C157991","","","",""
"J11","B5B-XH-A(LF)(SN)","SHDRV5W64P250_5X1_1490X575H700","200.25","63.975","Top","180.0","XYZ_F","195.25","64.5","C157991","","","",""
"J12","B2B-XH-A(LF)(SN)","SHDRV2W64P250_2X1_740X575H700","197.5","12.875","Top","180.0","ES","196.25","13.4","C158012","","","",""
"J13","B9B-XH-A(LF)(SN)","SHDRV9W64P250_9X1_2490X575H700","143.5","39.024","Top","0.0","EDA","153.5","38.5","C157966","","","",""
