"RefDes","Name","Pattern","Center X (mm)","Center Y (mm)","Side","Rotation","Value","Origin X (mm)","Origin Y (mm)","Part Number (LCSC)","Part Number (Digi-Key)","Part Number (Mouser)","MP","Package"
"C120","CAP_0402","RES_0402_202305","54.45","112.3","Top","90.0","100nF 16V 0402","54.45","112.3","","","","",""
"C121","CAP_0402","RES_0402_202305","104.5","112.3","Top","90.0","100nF 16V 0402","104.5","112.3","","","","",""
"C122","CAP_0402","RES_0402_202305","154.5","112.3","Top","90.0","100nF 16V 0402","154.5","112.3","","","","",""
"C123","CAP_0402","RES_0402_202305","204.5","112.3","Top","90.0","100nF 16V 0402","204.5","112.3","","","","",""
"C124","CAP_0603_N","CAP_0603_N","155.75","78.25","Top","180.0","100nF 16V 0603 X7R 10%","155.75","78.25","C66501","","","",""
"C125","CAP_0603_N","CAP_0603_N","155.75","67.5","Top","180.0","100nF 16V 0603 X7R 10%","155.75","67.5","C66501","","","",""
"C126","CAP_0603_N","CAP_0603_N","164.35","91.75","Top","0.0","100nF 16V 0603 X7R 10%","164.35","91.75","C66501","","","",""
"C127","CAP_0603_N","CAP_0603_N","168.85","91.75","Top","180.0","100nF 16V 0603 X7R 10%","168.85","91.75","C66501","","","",""
"C128","CAP_0603_N","CAP_0603_N","207.2","43","Top","180.0","100nF 16V 0603 X7R 10%","207.2","43","C66501","","","",""
"C129","CAP_0603_N","CAP_0603_N","191.55","43","Top","180.0","100nF 16V 0603 X7R 10%","191.55","43","C66501","","","",""
"C130","CAP_0603_N","CAP_0603_N","175.95","43","Top","180.0","100nF 16V 0603 X7R 10%","175.95","43","C66501","","","",""
"C131","CAP_0603_N","CAP_0603_N","160.35","43","Top","180.0","100nF 16V 0603 X7R 10%","160.35","43","C66501","","","",""
"C132","CAP_0603_N","CAP_0603_N","144.7","43","Top","180.0","100nF 16V 0603 X7R 10%","144.7","43","C66501","","","",""
"D1","LED 0603 GREEN","LED_0603_WURTH","44.2","41.05","Top","180.0","V5P0_B","44.2","41.05","","","","",""
"D2","LED 0603 RED","LED_0603_WURTH","67","52.95","Top","180.0","V3P3_CPU","67","52.95","","","","",""
"D3","LED 0603 GREEN","LED_0603_WURTH","55.9","58.45","Top","90.0","V5P0_ISOLATED_1","55.9","58.45","","","","",""
"D4","LED 0603 GREEN","LED_0603_WURTH","58.75","41.05","Top","180.0","V5P0_A","58.75","41.05","","","","",""
"D5","LED 0603 GREEN","LED_0603_WURTH","55.9","83.4","Top","90.0","V5P0_ISOLATED_2","55.9","83.4","","","","",""
"D6","LED 0603 WHITE","LED_0603_WURTH","20.9","22.85","Top","270.0","V7P0","20.9","22.85","","","","",""
"D7","SS14","DIOM529X267X242L114X150N","101","20.8","Top","0.0","","101","20.8","C2480","","","",""
"D8","SS14","DIOM529X267X242L114X150N","93.5","20.8","Top","180.0","","93.5","20.8","C2480","","","",""
"D9","SS14","DIOM529X267X242L114X150N","85.4","22.55","Top","90.0","","85.4","22.55","C2480","","","",""
"D10","SS14","DIOM529X267X242L114X150N","81.4","22.55","Top","90.01","","81.4","22.55","C2480","","","",""
"D11","SS14","DIOM529X267X242L114X150N","77.4","22.55","Top","90.0","","77.4","22.55","C2480","","","",""
"D12","SS14","DIOM529X267X242L114X150N","73.4","22.55","Top","90.01","","73.4","22.55","C2480","","","",""
"D13","SS14","DIOM529X267X242L114X150N","69.4","22.55","Top","90.0","","69.4","22.55","C2480","","","",""
"D14","SS310","DIOM529X267X242L114X150N","34.15","82.1","Top","270.0","","34.15","82.1","C3014013","","","",""
"D15","SS310","DIOM529X267X242L114X150N","34.197","57.1","Top","270.0","","34.197","57.1","C3014013","","","",""
"D16","SS14","DIOM529X267X242L114X150N","65.4","22.55","Top","90.01","","65.4","22.55","C2480","","","",""
"D17","SS310","DIOM529X267X242L114X150N","34.15","89.35","Top","90.0","","34.15","89.35","C3014013","","","",""
"D18","SS310","DIOM529X267X242L114X150N","34.197","64.35","Top","90.0","","34.197","64.35","C3014013","","","",""
"D19","LED 0603 RED","LED_0603_WURTH","198.575","103.675","Top","180.0","V5P0_B","198.575","103.675","","","","",""
"D20","SS14","DIOM529X267X242L114X150N","195.75","69","Top","0.0","","195.75","69","C2480","","","",""
"D21","SS14","DIOM529X267X242L114X150N","203.25","69","Top","180.0","","203.25","69","C2480","","","",""
"E1","MDD_SMA_DO214AC_SMAJ7.0A","DIOM510X266X229L115X145N","22.2","18.35","Top","180.0","7Vrwm 'AM'","22.2","18.35","C138782","","","",""
