"#","RefDes","Quantity","Name","Value","Pattern","Manufacturer","MP","Package","Part Number (LCSC)","Part Number (Mouser)","Part Number (Digi-Key)","Datasheet","Number of Pins"
"104","R75, R76, R77, R78, R107, R108","6","RES_0402","49R9 0402 1%","RES_0402_202305","","","","","","","","2"
"105","R79, R80, R88, R89","4","RES_0402","330R 0402 1%","RES_0402_202305","","","","","","","","2"
"106","R82, R83, R86, R87","4","RES_0402","60R4 0402 1% 50V","RES_0402_202305","","","","","","","","2"
"107","R90, R91, R92, R93","4","RES_0402","4K7 0402 1%","RES_0402_202305","","","","","","","","2"
"108","R94, R95, R103, R104, R105, R106, R155, R156, R157, R158, R159","11","YC164-FR-072KL","2K","RESCAXS8P80_320X160X70L30X50N","Yageo","","","","603-YC164-FR-072KL","YC164-FR-072KL-ND","http://datasheets.diptrace.com/rc_networks/PYu-YC_TC164_51_RoHS_L_3.pdf","8"
"109","R98","1","RES_1206_N","120R","RES_1206_N","","","","","","","","2"
"110","R143","1","RES_0603_N","47K","RES_0603_N","","","","","","","","2"
"111","U1, U8, U9","3","LMR51610YDBVR","1100kHz PFM","SOT23-6P95_280X145L45X37N","Texas Instruments","","","C22427220","","","https://www.ti.com/lit/ds/symlink/lmr51610.pdf","6"
"112","U2, U3","2","LM61460AASQRJRRQ1","","IC_LM61460AASQRJRRQ1","","LM61460AASQRJRRQ1","VQFN-HR-14 Texas Instruments","","","","https://www.ti.com/lit/ds/symlink/lm61460.pdf","14"
"113","U4","1","AMS1117-3.3","","SOT223-4P229_700X180L53X74N","Advanced Monolithic Systems","","","C6186","","","http://datasheets.diptrace.com/advanced_monolithic/AMS1117-3.3.pdf","4"
"114","U5, U6","2","LM66100","","TI_DCK_R-PDSO-G6_N","Texas Instruments","","","","","","https://www.lcsc.com/datasheet/C2869734.pdf","6"
"115","U7","1","LSF0102DCUR","","SOP8P50_200X310X90L27X21N_AD1","Texas Instruments","","","C964636","595-LSF0102DCUR","296-39070-6-ND","http://datasheets.diptrace.com/ti/LSF010x.pdf","8"
"116","U10, U11","2","78L05G-AB3-R","","QORVO_SOT-89","UTC","","","C71136","","","https://www.lcsc.com/datasheet/C71136.pdf","3"
"117","U12, U13","2","ADUM1200ARZ-RL7","","SOIC8P127_490X600X175L83X41N_AD1","Analog Devices","","","C15219","584-ADUM1200ARZ-R7","ADUM1200ARZ-RL7DKR-ND","http://datasheets.diptrace.com/analog_devices/ADuM1200_1201.pdf","8"
