"RefDes","Manufacturer","Mpn","Place","PcbSide","X","Y","Rotation"
"R126","UNI-ROYAL(Uniroyal Elec)","0603WAF100KT5E","true","Bottom","57.35","37.2","0"
"R127","UNI-ROYAL(Uniroyal Elec)","0603WAF100KT5E","true","Bottom","64.7","22.8","0.01"
"R128","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","73.1","29.05","90.01"
"R129","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","92","38","0"
"R130","UNI-ROYAL(Uniroyal Elec)","0402WGF330JTCE","true","Top","73.1","34.4","0.01"
"R131","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","74.9","34.4","0.01"
"R132","UNI-ROYAL(Uniroyal Elec)","0402WGF330JTCE","true","Top","86.5","31.15","180"
"R133","UNI-ROYAL(Uniroyal Elec)","0402WGF330JTCE","true","Top","86.5","30.15","180"
"R134","UNI-ROYAL(Uniroyal Elec)","0402WGF3300TCE","true","Bottom","94","24.15","-90"
"R135","UNI-ROYAL(Uniroyal Elec)","0402WGF330JTCE","true","Top","48.4","47.15","180"
"R136","UNI-ROYAL(Uniroyal Elec)","0402WGF330JTCE","true","Top","48.4","46","180"
"R137","UNI-ROYAL(Uniroyal Elec)","0402WGF3300TCE","true","Top","31.3","32.45","90"
"R138","UNI-ROYAL(Uniroyal Elec)","0402WGF3300TCE","true","Top","82.45","23.325","90"
"R139","UNI-ROYAL(Uniroyal Elec)","0402WGF3300TCE","true","Top","32.5","23.45","90"
"R401","UNI-ROYAL(Uniroyal Elec)","0603WAF1000T5E","true","Top","26.125","21.875","0"
"R402","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Bottom","14.025","58.3","0"
"R403","YAGEO","YC164-FR-072KL","true","Top","95.9","20.2","0"
"R404","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","86.5","25.25","180"
"R405","UNI-ROYAL(Uniroyal Elec)","0402WGF0000TCE","true","Bottom","103.885","41.55","90"
"R406","UNI-ROYAL(Uniroyal Elec)","0402WGF0000TCE","true","Bottom","102.615","41.55","90"
"R407","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","11.75","61.125","0"
"R408","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Bottom","44.35","15.9","90"
"R409","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Bottom","70.925","16.3","90"
"R601","UNI-ROYAL(Uniroyal Elec)","0402WGF5101TCE","true","Top","50.75","16.025","0"
"R602","UNI-ROYAL(Uniroyal Elec)","0402WGF5101TCE","true","Top","66","17","180"
"R603","UNI-ROYAL(Uniroyal Elec)","0402WGF5101TCE","true","Top","49.025","17","0"
"R604","UNI-ROYAL(Uniroyal Elec)","0402WGF5101TCE","true","Top","64.25","16.025","180"
"R605","UNI-ROYAL(Uniroyal Elec)","0402WGF1002TCE","true","Top","72.7","21.45","90"
